,Star_name,Distance,Mass,Radius
77,2MASSI J1010148-040649 [de],55,0.048683988000000004,0.13564716
78,2MASS J10224821+5825453 [de],60,0.025773876,0.95
79,2MASSW J1036530-344138 [de],53,0.046774812,0.09762484999999999
80,2MASS J1047538+212423 [de],34.4,0.040092696000000004,1.09
81,DEN 1048-3956,13.15,0.073503276,0.11201167000000001
82,Luhman 16B,6.516,0.041047284,1.26
83,Luhman 16A,6.516,0.03818352,0.12948137999999998
84,DENIS-P J1058.7−1548,49,0.061093632,1.97
85,TWA 28,180,0.034365168,0.20244310999999998
86,Cha 110913-773444,163,0.007636704,0.97
87,SDSS J111010.01+011613.1,63,0.008591292,0.09968010999999999
88,2MASS J11145133−2618235,18.2,0.031501404000000004,1.78
89,TWA 26,137,0.028637640000000002,0.18291813999999998
90,2MASS J11544223-3400390 [de],129,0.035319756,1.00
91,2MASSW J1155395-372735 [de],31,0.061093632,0.102763
92,2MASS J12074836-3900043,217,0.016227996,1.04
93,2MASSI J1217110-031113 [de],36,0.040092696000000004,0.10687352
94,2M 1237+6526,45.6,0.039138108,1.00
95,TWA 29,262,0.0238647,0.102763
96,SDSSp J125453.90-012247.4 [de],38,0.044865636,1.38
97,Kelu-1A,61,0.060139044,0.14181293999999997
98,Kelu-1B,61,0.055366104,0.97
99,2MASS J13204427+0409045,101,0.063957396,0.09968010999999999
100,SDSSp J132629.82-003831.5 [de],65,0.048683988000000004,1.01
101,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.10379063
102,2MASS J13595510-4034582,51,0.060139044,1.01
103,ULAS J141623.94+134836.3,29.7,0.030546816,0.10379063
104,SDSS J141659.78+500626.4 [de],149,0.056320692,1.41
105,DENIS-P J142527.97-365023.4 [de],38,0.020046348000000002,0.14489582999999998
106,LHS 2924,38.5,0.072548688,1.51
107,2MASS J14392837+1929150,47,0.068730336,0.15517213
108,LSPM J1440+1339,72,0.087822096,0.99
109,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
110,CFBDSIR 1458+10A,104,0.0105959268,1.01
111,CFBDSIR 1458+10B,104,0.008591292,0.10379063
